CustomerID,Tenure,MonthlyCharges,TotalCharges,Contract,InternetService,SupportTickets,Churn
76,71,97.27,1130.89,One Year,Fiber Optic,1,0
77,9,91.49,1522.44,Month-to-Month,Fiber Optic,8,0
78,1,77.9,3954.06,Month-to-Month,DSL,0,0
79,8,21.46,881.01,Two Year,DSL,7,1
80,63,56.04,316.05,Month-to-Month,DSL,5,1
81,11,80.48,2030.54,Month-to-Month,DSL,0,1
82,8,58.75,2140.32,One Year,DSL,3,0
83,35,106.35,2309.45,One Year,DSL,2,0
84,35,50.88,4151.83,Month-to-Month,Fiber Optic,6,1
85,33,49.35,580.23,Month-to-Month,Fiber Optic,6,0
86,5,46.6,3549.32,Two Year,DSL,5,0
87,41,53.28,1755.93,Two Year,Fiber Optic,9,1
88,28,75.74,1618.9,One Year,No,9,0
89,7,90.7,4669.46,Two Year,Fiber Optic,7,0
90,12,86.26,1317.5,Month-to-Month,DSL,6,0
91,34,100.77,3248.41,Month-to-Month,Fiber Optic,3,0
92,33,108.59,1448.13,Month-to-Month,Fiber Optic,6,0
93,48,101.61,2585.01,Month-to-Month,No,0,0
94,23,21.89,3952.84,Month-to-Month,No,2,0
95,62,93.59,4420.44,Month-to-Month,DSL,1,1
96,37,40.84,4209.62,Two Year,Fiber Optic,6,0
97,44,33.29,2952.69,One Year,No,8,0
98,35,83.85,1319.2,One Year,No,4,0
99,65,51.97,3340.04,Month-to-Month,Fiber Optic,8,0
100,47,25.71,3578.53,Month-to-Month,DSL,7,1
101,3,33.76,152.39,Month-to-Month,DSL,0,0
102,1,20.09,2252.13,One Year,Fiber Optic,1,0
103,5,110.32,4231.98,Month-to-Month,Fiber Optic,5,0
104,14,22.46,2498.98,Month-to-Month,No,4,0
105,27,40.95,1625.74,Month-to-Month,No,6,1
106,9,61.63,4371.81,One Year,DSL,8,1
107,15,55.66,863.82,Two Year,Fiber Optic,3,0
108,42,111.17,1111.58,One Year,DSL,7,1
109,51,24.03,3468.12,Month-to-Month,Fiber Optic,3,0
110,63,71.22,1826.94,Month-to-Month,Fiber Optic,2,0
111,52,88.05,3593.78,Month-to-Month,DSL,1,0
112,4,113.17,872.75,Month-to-Month,DSL,7,0
113,23,82.04,1336.12,Month-to-Month,DSL,7,0
114,15,100.38,867.57,Month-to-Month,DSL,2,1
115,43,28.37,4769.26,Month-to-Month,No,0,1
116,29,58.59,2086.48,Month-to-Month,DSL,5,0
117,36,57.39,1752.38,Month-to-Month,DSL,4,0
118,13,108.63,169.59,One Year,DSL,7,1
119,32,35.14,851.75,Two Year,No,5,0
120,71,35.19,2163.57,Two Year,DSL,3,0
121,59,52.86,435.66,Month-to-Month,DSL,9,0
122,28,25.45,2602.62,Month-to-Month,Fiber Optic,9,0
123,66,38.25,2329.58,Two Year,DSL,1,0
124,42,116.52,3859.12,Month-to-Month,DSL,7,0
125,45,62.82,3333.03,Two Year,Fiber Optic,4,0
126,62,83.2,2285.14,Month-to-Month,DSL,7,0
127,57,92.61,1200.84,Two Year,No,4,1
128,6,56.7,3661.63,Two Year,Fiber Optic,5,1
129,28,34.72,3568.52,One Year,Fiber Optic,9,0
130,28,40.66,851.15,One Year,DSL,4,0
131,44,51.33,4582.28,Month-to-Month,No,2,0
132,30,83.61,415.59,Month-to-Month,Fiber Optic,9,0
133,62,59.83,369.68,Month-to-Month,DSL,7,0
134,62,20.68,1018.02,Month-to-Month,DSL,2,0
135,1,72.34,4556.36,Month-to-Month,Fiber Optic,3,0
136,27,112.15,2647.99,Month-to-Month,Fiber Optic,5,1
137,62,101.21,3960.91,Two Year,No,1,0
138,3,102.52,1216.43,Month-to-Month,Fiber Optic,6,1
139,70,99.51,2502.09,Month-to-Month,Fiber Optic,4,1
140,27,52.37,1855.62,Month-to-Month,DSL,9,0
141,9,96.52,4156.36,Month-to-Month,Fiber Optic,4,1
142,62,34.32,210.76,Month-to-Month,No,4,0
143,37,85.77,1294.83,Two Year,Fiber Optic,1,1
144,51,84.16,847.61,Month-to-Month,DSL,9,0
145,44,22.56,4310.03,Month-to-Month,DSL,8,1
146,24,98.8,2390.96,Month-to-Month,DSL,2,0
147,59,110.32,2080.68,Month-to-Month,Fiber Optic,6,0
148,32,46.74,2302.47,Two Year,No,4,0
149,52,101.24,4862.43,Month-to-Month,DSL,9,1
150,62,28.24,4266.31,Month-to-Month,DSL,9,1
151,58,80.0,3561.21,Month-to-Month,Fiber Optic,4,0
152,52,68.56,1523.35,Two Year,No,3,0
153,12,74.59,909.35,Month-to-Month,Fiber Optic,9,0
154,39,112.62,4615.02,Two Year,DSL,5,1
155,2,107.13,2173.07,Month-to-Month,DSL,6,0
156,3,98.51,1465.9,Month-to-Month,Fiber Optic,6,1
157,56,47.37,2407.51,One Year,No,7,0
158,59,111.18,4597.45,Month-to-Month,DSL,4,0
159,2,29.75,1996.63,Month-to-Month,Fiber Optic,6,0
160,2,105.33,2856.94,Month-to-Month,Fiber Optic,3,0
161,54,52.82,4034.53,Month-to-Month,Fiber Optic,8,0
162,1,25.38,2192.95,Two Year,DSL,4,0
163,19,86.94,1244.35,Month-to-Month,No,2,0
164,2,43.13,4973.18,One Year,Fiber Optic,4,0
165,53,44.36,4787.2,Month-to-Month,Fiber Optic,8,0
166,44,50.6,4233.05,Month-to-Month,Fiber Optic,7,0
167,32,26.37,3473.03,One Year,No,0,0
168,70,37.71,1544.84,Month-to-Month,Fiber Optic,4,0
169,32,20.51,4575.72,Month-to-Month,Fiber Optic,5,0
170,68,64.54,1450.23,Month-to-Month,DSL,9,0
171,55,28.43,4023.97,Month-to-Month,DSL,1,0
172,56,88.27,4599.47,Two Year,DSL,5,1
173,17,43.56,3054.72,Month-to-Month,No,8,0
174,38,114.36,4034.98,Month-to-Month,No,3,1
175,24,107.13,3979.31,One Year,DSL,2,1
176,69,48.94,1046.47,Month-to-Month,DSL,8,0
177,70,98.32,3372.83,Month-to-Month,DSL,1,0
178,11,100.32,557.99,Month-to-Month,No,8,0
179,16,118.66,2588.47,Two Year,DSL,9,0
180,59,79.78,894.95,Two Year,Fiber Optic,1,0
181,70,28.2,2140.11,One Year,No,9,0
182,3,84.68,4181.61,Month-to-Month,Fiber Optic,2,0
183,20,82.5,4937.12,One Year,No,6,1
184,59,83.84,1658.0,Month-to-Month,Fiber Optic,1,0
185,36,50.71,2706.58,Month-to-Month,Fiber Optic,0,0
186,19,105.97,2605.36,Two Year,Fiber Optic,8,0
187,67,115.95,4776.57,Month-to-Month,DSL,5,0
188,19,41.77,2445.06,Month-to-Month,No,8,0
189,20,28.82,3525.62,Two Year,Fiber Optic,2,0
190,71,39.45,4616.77,One Year,DSL,2,0
191,52,102.06,1929.55,Month-to-Month,DSL,9,0
192,33,87.66,4520.4,Month-to-Month,DSL,2,0
193,40,83.6,4595.54,Month-to-Month,Fiber Optic,1,0
194,39,60.18,4660.25,Month-to-Month,DSL,5,1
195,1,77.78,1425.19,Month-to-Month,No,2,0
196,11,50.79,2061.74,Month-to-Month,DSL,4,0
197,57,67.72,4364.94,Two Year,DSL,4,0
198,50,99.31,1859.89,Month-to-Month,Fiber Optic,9,0
199,23,118.12,3041.24,Month-to-Month,Fiber Optic,2,0
200,31,113.25,678.47,Month-to-Month,No,2,0
201,42,113.39,375.75,Month-to-Month,Fiber Optic,0,1
202,7,60.22,2118.77,Month-to-Month,DSL,5,0
203,16,66.88,2936.69,Two Year,Fiber Optic,2,0
204,60,90.56,2024.23,Two Year,DSL,0,0
205,2,112.22,2930.91,Month-to-Month,DSL,9,0
206,1,34.2,2623.91,Two Year,DSL,8,0
207,48,50.42,3459.97,Month-to-Month,Fiber Optic,0,0
208,12,33.92,3282.71,One Year,DSL,4,0
209,69,81.2,2178.8,Month-to-Month,DSL,4,0
210,37,50.63,2182.48,Two Year,DSL,1,0
211,32,52.61,789.81,Month-to-Month,DSL,0,0
212,9,27.09,2614.87,Month-to-Month,DSL,5,0
213,19,54.98,2977.18,One Year,DSL,6,0
214,48,106.25,2434.8,Month-to-Month,DSL,8,0
215,3,43.31,1695.97,Month-to-Month,DSL,7,1
216,20,89.52,3636.08,Month-to-Month,DSL,9,1
217,24,82.96,465.84,One Year,No,2,0
218,54,106.35,4580.76,Month-to-Month,Fiber Optic,8,0
219,33,33.23,201.15,Month-to-Month,Fiber Optic,0,0
220,24,117.76,4815.52,Two Year,No,5,1
221,36,78.26,2365.54,Month-to-Month,DSL,9,1
222,38,119.55,2122.08,Month-to-Month,DSL,1,0
223,25,111.15,1356.58,One Year,No,9,0
224,18,42.15,149.35,One Year,Fiber Optic,8,0
225,66,25.62,1446.47,Two Year,No,8,0
226,54,45.56,636.06,Month-to-Month,No,7,1
227,35,72.76,3333.12,Month-to-Month,DSL,6,0
228,61,37.16,1663.47,Two Year,No,5,1
229,41,36.75,3859.18,Two Year,No,1,0
230,33,66.26,1113.89,One Year,DSL,3,0
231,68,23.33,4511.15,Month-to-Month,No,9,0
232,33,32.19,2662.61,Month-to-Month,DSL,6,0
233,14,61.59,661.08,Month-to-Month,Fiber Optic,5,0
234,21,26.31,2064.14,Two Year,DSL,8,0
235,48,59.68,1113.13,Month-to-Month,DSL,4,1
236,20,67.4,1078.46,Month-to-Month,Fiber Optic,5,1
237,8,65.13,2581.21,Month-to-Month,DSL,9,0
238,7,106.92,3392.27,Month-to-Month,Fiber Optic,5,0
239,67,73.01,4566.93,Month-to-Month,Fiber Optic,7,1
240,17,66.8,2560.59,One Year,DSL,7,0
241,33,61.07,4832.61,Month-to-Month,DSL,5,1
242,48,101.76,4714.01,Month-to-Month,Fiber Optic,7,0
243,59,109.51,4338.81,Month-to-Month,No,6,1
244,22,105.32,2549.89,Two Year,Fiber Optic,0,0
245,30,87.35,790.43,Two Year,Fiber Optic,4,0
246,38,33.74,1167.73,One Year,Fiber Optic,9,0
247,51,47.69,3273.58,One Year,DSL,9,1
248,54,24.61,2166.6,Month-to-Month,Fiber Optic,9,0
249,8,113.08,819.33,One Year,No,4,1
250,27,86.08,2447.07,Two Year,Fiber Optic,9,0
251,27,94.64,185.41,Month-to-Month,Fiber Optic,8,0
252,21,51.16,3696.09,Month-to-Month,Fiber Optic,6,0
253,30,104.57,460.55,Two Year,Fiber Optic,6,0
254,28,45.96,3182.66,One Year,Fiber Optic,9,0
255,64,20.16,3985.75,Month-to-Month,Fiber Optic,1,0
256,69,57.64,749.95,Two Year,Fiber Optic,7,0
257,61,77.08,2641.33,Month-to-Month,DSL,2,0
258,48,67.87,3917.43,Month-to-Month,Fiber Optic,8,0
259,19,106.21,1377.1,One Year,No,5,0
260,4,30.54,898.29,Month-to-Month,DSL,8,0
261,35,75.38,1750.41,One Year,No,8,1
262,64,71.3,2818.03,Month-to-Month,DSL,6,0
263,49,48.14,2918.87,Month-to-Month,DSL,9,0
264,17,102.22,741.29,Month-to-Month,Fiber Optic,7,0
265,44,95.28,2342.09,Month-to-Month,Fiber Optic,1,0
266,30,93.29,1414.58,Month-to-Month,Fiber Optic,4,0
267,46,107.62,4225.92,Two Year,DSL,2,1
268,6,92.28,1636.52,Month-to-Month,DSL,0,0
269,37,43.18,4209.65,Month-to-Month,Fiber Optic,5,0
270,24,90.56,2199.97,Month-to-Month,DSL,8,1
271,46,50.77,3660.27,Two Year,Fiber Optic,1,0
272,53,44.22,2599.3,Month-to-Month,Fiber Optic,8,0
273,60,27.3,3147.62,Month-to-Month,Fiber Optic,7,0
274,63,94.4,2037.25,Month-to-Month,DSL,8,0
275,32,91.1,3864.21,Month-to-Month,DSL,4,1
276,33,43.45,2183.43,Month-to-Month,DSL,1,0
277,67,94.94,2341.56,One Year,DSL,9,0
278,18,111.78,2636.63,Two Year,Fiber Optic,9,1
279,25,30.8,4175.94,Month-to-Month,No,5,1
280,54,43.26,3330.96,Two Year,DSL,6,0
281,58,95.03,1810.89,Two Year,DSL,2,1
282,67,47.45,3384.57,Two Year,DSL,5,0
283,46,82.47,3247.89,Two Year,No,5,1
284,24,28.12,4661.99,Two Year,DSL,7,0
285,32,65.22,4222.94,Month-to-Month,No,0,0
286,47,93.91,3272.49,Month-to-Month,DSL,3,0
287,23,88.65,1773.38,Month-to-Month,DSL,0,1
288,66,101.51,3919.92,Two Year,DSL,7,0
289,27,107.75,2918.52,Month-to-Month,Fiber Optic,1,0
290,2,97.32,4927.82,Month-to-Month,Fiber Optic,7,0
291,17,87.16,1312.78,Month-to-Month,Fiber Optic,2,0
292,33,23.17,490.31,Two Year,DSL,7,0
293,9,73.5,442.47,One Year,DSL,5,0
294,43,23.77,3236.15,Month-to-Month,DSL,0,1
295,48,100.81,4702.38,Month-to-Month,Fiber Optic,6,0
296,39,52.07,109.47,One Year,DSL,6,0
297,42,76.24,3656.28,Month-to-Month,Fiber Optic,5,0
298,26,47.94,3319.62,Month-to-Month,DSL,0,1
299,50,98.25,3688.29,Month-to-Month,DSL,4,0
300,25,108.65,1841.49,Two Year,Fiber Optic,0,0
301,24,59.86,4120.43,Month-to-Month,DSL,0,0
302,13,106.29,319.06,Month-to-Month,Fiber Optic,5,0
303,60,46.71,3801.61,One Year,DSL,7,0
304,7,73.47,1408.65,Month-to-Month,DSL,0,0
305,57,105.88,2436.51,Month-to-Month,No,1,0
306,36,52.59,4130.92,Month-to-Month,DSL,4,0
307,45,115.4,1429.66,Two Year,Fiber Optic,7,0
308,20,32.19,1007.52,Month-to-Month,No,3,0
309,65,21.83,3438.43,One Year,DSL,4,1
310,8,110.41,2713.63,Two Year,No,9,0
311,16,26.86,2620.58,Two Year,DSL,4,0
312,14,119.19,1358.17,One Year,Fiber Optic,2,1
313,15,115.14,270.91,One Year,Fiber Optic,5,0
314,66,33.7,2110.32,Two Year,No,4,0
315,32,73.76,622.14,Two Year,Fiber Optic,1,0
316,63,38.49,4539.35,Two Year,Fiber Optic,9,0
317,51,62.82,302.13,One Year,Fiber Optic,3,0
318,25,26.14,2215.09,Month-to-Month,DSL,3,0
319,58,42.39,356.0,Month-to-Month,Fiber Optic,6,0
320,63,56.33,568.16,Month-to-Month,DSL,6,0
321,62,63.86,3328.45,Two Year,Fiber Optic,8,0
322,22,117.75,3270.85,Two Year,Fiber Optic,9,0
323,58,100.79,261.96,Month-to-Month,No,1,0
324,58,93.74,105.54,Month-to-Month,Fiber Optic,5,0
325,49,73.7,486.21,Month-to-Month,Fiber Optic,1,1
326,52,104.0,3838.69,Month-to-Month,DSL,8,0
327,42,53.93,2964.42,One Year,DSL,1,0
328,70,90.89,286.78,Month-to-Month,Fiber Optic,5,0
329,15,119.38,2491.68,Month-to-Month,Fiber Optic,7,1
330,54,51.46,3588.94,Month-to-Month,Fiber Optic,5,1
331,60,87.4,4357.86,Month-to-Month,Fiber Optic,2,1
332,8,104.43,4676.78,Two Year,DSL,4,0
333,53,111.58,1704.46,Month-to-Month,Fiber Optic,3,0
334,60,91.79,765.58,Two Year,DSL,0,0
335,5,48.36,1260.94,Month-to-Month,DSL,4,0
336,68,52.63,3903.24,Month-to-Month,DSL,9,0
337,6,22.08,4860.27,One Year,Fiber Optic,4,0
338,47,96.09,2385.33,One Year,Fiber Optic,6,0
339,55,24.27,1596.23,Month-to-Month,DSL,6,1
340,40,106.47,2203.03,Month-to-Month,Fiber Optic,1,0
341,52,31.87,1593.58,Month-to-Month,DSL,3,0
342,16,37.19,1356.79,One Year,No,0,0
343,13,67.65,3009.38,Month-to-Month,Fiber Optic,4,0
344,30,93.79,177.11,Month-to-Month,DSL,4,0
345,19,33.9,1371.81,One Year,No,3,0
346,17,64.01,3340.77,Month-to-Month,DSL,9,0
347,63,68.29,257.11,Month-to-Month,Fiber Optic,6,0
348,19,41.23,507.69,Month-to-Month,Fiber Optic,5,1
349,58,31.56,1537.64,Two Year,DSL,9,0
350,55,103.64,4401.24,Month-to-Month,Fiber Optic,2,1
351,62,70.25,3847.94,Two Year,DSL,1,1
352,23,21.44,208.57,Month-to-Month,No,3,0
353,9,100.3,2558.39,One Year,DSL,8,0
354,12,118.08,1445.97,Month-to-Month,DSL,9,0
355,1,80.59,3278.36,Month-to-Month,Fiber Optic,4,0
356,58,70.37,3635.61,Two Year,DSL,0,1
357,1,107.84,4328.03,Two Year,Fiber Optic,2,0
358,34,115.25,2429.54,One Year,No,8,0
359,48,95.45,4972.81,Two Year,Fiber Optic,6,0
360,1,64.55,4901.93,Month-to-Month,DSL,2,0
361,16,79.22,4422.62,Month-to-Month,Fiber Optic,0,0
362,61,90.09,2916.86,Month-to-Month,No,3,0
363,64,39.43,2050.23,Two Year,DSL,8,0
364,63,64.72,1885.49,Month-to-Month,Fiber Optic,6,0
365,69,102.98,159.41,Two Year,DSL,4,0
366,22,85.47,1320.96,Month-to-Month,No,5,1
367,67,61.12,3622.16,One Year,Fiber Optic,0,0
368,26,86.34,3057.8,Month-to-Month,No,6,0
369,16,31.82,4590.47,Month-to-Month,No,4,0
370,51,60.15,345.11,One Year,DSL,6,1
371,57,99.31,860.86,Month-to-Month,DSL,4,0
372,29,42.05,3967.29,Two Year,DSL,4,1
373,69,38.6,1856.69,One Year,DSL,2,0
374,47,115.08,679.89,Month-to-Month,Fiber Optic,4,0
375,62,40.99,4982.61,Two Year,Fiber Optic,7,0
376,69,46.09,3957.53,One Year,DSL,7,1
377,16,116.96,2102.83,One Year,Fiber Optic,1,0
378,48,93.47,4134.4,Month-to-Month,Fiber Optic,0,0
379,39,89.96,3434.96,Month-to-Month,DSL,1,0
380,33,105.29,3970.88,One Year,DSL,6,0
381,23,31.58,4094.51,Two Year,Fiber Optic,2,1
382,10,90.6,515.17,Month-to-Month,Fiber Optic,7,0
383,69,70.37,3152.57,Month-to-Month,No,3,1
384,34,102.92,133.25,Month-to-Month,DSL,9,0
385,52,70.81,312.94,Month-to-Month,Fiber Optic,9,0
386,10,82.02,4529.5,One Year,Fiber Optic,7,0
387,19,67.77,2685.06,One Year,DSL,1,0
388,58,67.82,3705.92,Month-to-Month,DSL,4,0
389,1,96.8,4208.65,Two Year,DSL,5,0
390,69,82.86,4752.98,Month-to-Month,DSL,0,0
391,4,83.33,4359.83,One Year,DSL,0,1
392,16,65.03,2468.23,Month-to-Month,Fiber Optic,8,1
393,24,73.11,1746.25,Month-to-Month,Fiber Optic,4,0
394,2,94.57,857.02,Two Year,Fiber Optic,3,1
395,32,102.59,2061.58,Month-to-Month,DSL,0,0
396,24,89.66,1895.82,Month-to-Month,Fiber Optic,2,0
397,12,112.41,2841.92,Month-to-Month,Fiber Optic,3,0
398,50,102.03,3361.0,Month-to-Month,No,4,0
399,35,76.19,4893.79,Month-to-Month,No,9,1
400,33,87.14,3669.09,Month-to-Month,Fiber Optic,4,0
401,33,112.63,3254.37,Two Year,Fiber Optic,9,0
402,61,81.92,1741.95,One Year,DSL,7,0
403,51,102.48,269.07,Month-to-Month,DSL,2,0
404,43,88.88,1511.81,One Year,No,6,0
405,12,75.19,3865.39,Month-to-Month,Fiber Optic,5,0
406,67,44.18,1105.83,Month-to-Month,Fiber Optic,9,0
407,65,62.6,3589.72,Month-to-Month,No,9,1
408,33,116.77,2940.92,Month-to-Month,Fiber Optic,9,0
409,40,85.78,942.1,Two Year,DSL,5,0
410,43,76.44,1381.96,Month-to-Month,DSL,9,0
411,44,113.3,2531.89,Two Year,DSL,8,0
412,29,78.65,2150.04,Month-to-Month,Fiber Optic,6,0
413,13,72.61,3914.96,Month-to-Month,Fiber Optic,6,0
414,12,95.93,3698.58,One Year,No,0,0
415,46,91.27,2915.42,Month-to-Month,Fiber Optic,0,1
416,2,39.32,4129.15,Month-to-Month,DSL,8,1
417,35,67.13,2857.08,Month-to-Month,DSL,8,1
418,8,67.25,4825.51,Month-to-Month,Fiber Optic,9,1
419,26,57.82,1164.4,Two Year,No,2,0
420,34,71.73,3599.25,Month-to-Month,DSL,7,1
421,7,61.31,1912.73,Month-to-Month,No,8,0
422,68,39.93,1466.93,Two Year,DSL,0,0
423,58,61.24,983.9,Month-to-Month,DSL,2,0
424,29,27.23,2807.27,Month-to-Month,No,5,0
425,36,77.58,1155.8,Month-to-Month,DSL,3,1
426,21,105.37,1081.72,Month-to-Month,Fiber Optic,7,0
427,36,92.53,4953.61,Month-to-Month,DSL,8,1
428,10,56.04,4028.56,Month-to-Month,No,6,0
429,24,28.71,3766.56,Two Year,No,0,0
430,64,40.21,3990.9,Month-to-Month,No,1,0
431,49,74.55,4847.72,Month-to-Month,DSL,0,1
432,36,40.71,2909.06,Month-to-Month,DSL,8,1
433,24,74.4,1179.19,Month-to-Month,Fiber Optic,3,1
434,23,43.16,4324.83,Two Year,DSL,9,0
435,62,104.89,3739.38,Month-to-Month,Fiber Optic,7,0
436,37,59.73,2130.11,Month-to-Month,Fiber Optic,4,0
437,12,44.56,2420.49,Month-to-Month,DSL,4,0
438,55,101.23,2115.14,Month-to-Month,Fiber Optic,4,1
439,13,54.28,4656.72,One Year,No,4,0
440,23,31.15,1783.3,Month-to-Month,No,2,0
441,30,77.04,4821.07,Month-to-Month,DSL,5,0
442,17,78.16,4560.33,Month-to-Month,DSL,0,0
443,62,91.47,3189.55,Month-to-Month,DSL,7,0
444,13,44.02,2941.13,Month-to-Month,DSL,3,1
445,59,64.38,1913.44,Month-to-Month,DSL,5,0
446,19,48.24,189.86,Two Year,No,1,0
447,49,28.1,725.35,Month-to-Month,DSL,1,0
448,12,107.66,3795.73,Two Year,DSL,7,1
449,61,92.89,2410.55,Month-to-Month,DSL,0,0
450,19,50.15,834.21,One Year,DSL,7,0
451,9,79.94,1393.41,Month-to-Month,DSL,9,0
452,71,40.13,4744.4,One Year,Fiber Optic,9,0
453,28,109.02,1898.95,Month-to-Month,Fiber Optic,0,0
454,52,31.49,4547.64,Month-to-Month,DSL,8,1
455,16,20.38,1592.72,One Year,DSL,0,0
456,69,70.2,2761.78,Month-to-Month,Fiber Optic,3,0
457,12,78.31,200.34,Month-to-Month,DSL,8,0
458,25,77.9,2657.19,Month-to-Month,DSL,0,0
459,52,25.45,3221.02,Month-to-Month,No,8,0
460,53,51.4,1248.09,Month-to-Month,Fiber Optic,7,0
461,23,69.92,2936.79,Month-to-Month,Fiber Optic,4,0
462,16,41.66,3271.12,Month-to-Month,No,5,0
463,57,107.26,3465.74,Month-to-Month,Fiber Optic,4,1
464,39,28.71,3904.38,Month-to-Month,No,3,0
465,53,68.74,1625.56,Month-to-Month,No,9,1
466,42,89.14,2882.11,Month-to-Month,DSL,3,0
467,58,46.18,4909.74,Two Year,No,9,0
468,39,82.42,4500.91,Month-to-Month,DSL,7,0
469,14,102.94,4768.06,Two Year,DSL,7,0
470,5,39.03,1992.07,One Year,No,8,0
471,35,111.72,3955.95,Two Year,No,2,1
472,18,75.36,3137.5,Two Year,Fiber Optic,9,0
473,9,49.92,505.4,One Year,DSL,7,1
474,58,63.09,4137.5,Month-to-Month,Fiber Optic,2,0
475,17,51.22,3417.8,Month-to-Month,Fiber Optic,1,1
476,7,92.51,1074.7,Month-to-Month,DSL,1,0
477,46,99.63,490.72,Two Year,No,8,0
478,13,103.29,4201.41,Two Year,DSL,3,1
479,40,118.58,486.62,One Year,DSL,4,0
480,42,99.13,547.63,Two Year,DSL,1,0
481,9,80.14,2194.3,Two Year,DSL,8,0
482,50,53.92,760.51,Month-to-Month,Fiber Optic,6,1
483,27,74.46,4576.98,One Year,DSL,2,0
484,66,24.11,2404.39,Month-to-Month,Fiber Optic,5,0
485,5,94.48,2888.84,Month-to-Month,DSL,6,1
486,29,64.6,4647.72,Month-to-Month,Fiber Optic,5,1
